#(1) SSI website, (2) Hekker et al. 2011, (3) Stello et al. 2013, (4) Yu et al. 2016, (5) Mathur et al. 2016, (6) Gaulme et al. 2013, (7) Gaulme et al. 2014, (8) Chaplin et al. 2014, (9)Beck et al. 2014, (10)Pinsonneault et al. 2014					
#KIC	Vmax	Vmax_err	Dv	Dv_err	ref
1717783	30.34355 	0.32568 	4.04548 	0.00250 	1,9
1717994	29.94902 	0.08046 	4.09915 	0.00178 	1,9
1718743	27.79919 	0.30243 	3.87769 	0.00213 	1,9
1719065	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1719297	7.60000 	-99.90000 	1.19000 	-99.90000 	2,9
1719422	129.36745 	0.54898 	11.30465 	0.00212 	1,3,9
1720241	245.84166 	0.48819 	16.50496 	0.00842 	1,9
1720425	28.00000 	-99.90000 	3.60000 	-99.90000 	2,9
1721071	31.60965 	0.37383 	3.95918 	0.00248 	1,9
1721595	155.29282 	0.49292 	13.16734 	0.00469 	1,4
1723047	134.63253 	0.36020 	11.45646 	0.00260 	1,9
1723146	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1723191	9.06345 	0.08708 	1.48657 	0.00360 	1,9
1723656	31.11720 	0.07055 	3.78175 	0.00249 	1,9
1723700	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1723752	195.85262 	0.59051 	17.37171 	0.00813 	1,9
1723843	104.86274 	0.44608 	9.43840 	0.00158 	1,3,9
1724879	-99.90000 	-99.90000 	4.54700 	-99.90000 	3,9
1725190	-99.90000 	-99.90000 	7.93700 	-99.90000 	3,9
1725552	7.90000 	-99.90000 	1.29000 	-99.90000 	2,9
1725626	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1725796	38.81941 	0.37948 	4.53689 	0.00250 	1,9
1725815	1045.00000 	47.00000 	55.40000 	1.30000 	8,9
1725952	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1726211	29.72065 	0.24180 	3.72597 	0.00185 	1,2
1726245	47.08903 	0.27043 	4.87822 	0.00172 	1,9
1726291	143.89368 	0.62096 	12.87760 	0.00209 	1,3,9
1849462	164.00000 	1.20000 	13.22000 	0.01000 	4
1849679	43.47771 	0.05919 	5.23024 	0.00090 	1,9
1850285	48.26970 	0.51810 	5.09750 	0.00265 	1,9
1864183	51.99389 	0.07395 	5.53828 	0.00080 	1,2,9
1864258	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1864855	129.90000 	-99.90000 	10.42000 	-99.90000 	2,9
1864959	39.67002 	0.23061 	4.48589 	0.00150 	1,9
1865102	76.06987 	0.22657 	7.93970 	0.00138 	1,3,9
1865262	49.99717 	0.19585 	5.60710 	0.00080 	1,9
1865595	11.62586 	0.11156 	1.81819 	0.00111 	1,9
1865744	8.55116 	0.03692 	1.40450 	0.00119 	1,9
1865747	-99.90000 	-99.90000 	6.10800 	-99.90000 	3,9
1866137	36.85400 	0.28188 	4.25045 	0.00188 	1,9
1866235	4.21871 	0.02255 	0.70586 	0.00230 	1,9
1866366	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1867078	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1867706	99.58269 	0.30552 	8.77018 	0.00118 	1,3,9
1868101	31.20000 	-99.90000 	3.84000 	-99.90000 	2,9
1868303	39.33639 	0.26744 	4.59741 	0.00130 	1,9
1870196	205.88017 	0.27463 	14.83254 	0.00262 	1,3,9
1870385	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1870433	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1870495	180.70000 	1.50000 	14.80000 	0.02000 	4
1870710	16.18064 	0.11024 	2.55259 	0.00112 	1,9
1870714	90.20220 	0.67232 	7.52774 	0.00207 	1
1871314	54.33477 	0.25387 	5.71081 	0.00094 	1,9
1871465	32.86124 	0.09209 	4.00200 	0.00205 	1,9
1871571	183.60000 	1.30000 	14.36000 	0.02000 	4
1871631	27.51258 	0.32704 	4.20784 	0.00372 	1,9
1871927	62.71083 	0.35098 	6.47763 	0.00136 	1,3,9
1872166	73.76945 	0.34277 	6.71442 	0.00136 	1,3,9
1872210	68.06054 	0.27759 	6.25635 	0.00128 	1,3,9
1872375	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1872421	30.33311 	0.33882 	3.93390 	0.00284 	1,9
1872469	53.74646 	0.08716 	5.73213 	0.00112 	1,3,9
1872517	24.73101 	0.15358 	3.30357 	0.00093 	1,9
1872842	39.62978 	0.22650 	4.43849 	0.00125 	1,3,9
1872869	30.12601 	0.26224 	3.90468 	0.00217 	1,9
1873198	34.67233 	0.07199 	4.21391 	0.00100 	1,9
1873204	28.94850 	0.15856 	3.75105 	0.00095 	1,9
1873510	30.50000 	0.70000 	3.84000 	0.04000 	4
1873898	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1873986	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1995358	23.64059 	0.22469 	3.24448 	0.00211 	1,9
1995522	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1995668	225.50000 	1.70000 	16.12000 	0.02000 	4
1995859	45.32741 	0.37610 	5.25249 	0.00431 	1,9
1996078	-99.90000 	-99.90000 	7.75000 	-99.90000 	3,9
1996408	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
1996415	118.61688 	0.52340 	10.79105 	0.00193 	1,3,9
1996818	28.09129 	0.15460 	3.43906 	0.00407 	1,9
2010137	6.62937 	0.02325 	1.09573 	0.00129 	1,5
2010138	38.20690 	0.21518 	4.33783 	0.00146 	1,9
2010366	27.86292 	0.07596 	3.85688 	0.00217 	1,4
2010577	30.00000 	1.50000 	3.90000 	0.67000 	5
2010607	675.00000 	86.00000 	42.50000 	1.70000 	8,9
2010702	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2010855	33.98317 	0.12036 	4.13339 	0.00253 	1,9
2011048	-99.90000 	-99.90000 	6.70400 	-99.90000 	3,9
2011314	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2011533	24.68331 	0.07512 	3.42331 	0.00289 	1
2011582	39.31384 	0.07913 	3.86570 	0.00117 	1,9
2011675	33.46074 	0.06761 	4.04757 	0.00259 	1,9
2011827	28.39123 	0.16840 	3.88557 	0.00170 	1,9
2011870	4.70000 	0.20000 	0.76000 	0.01000 	5
2011883	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2011891	106.85151 	0.43622 	8.98331 	0.00139 	1,3,9
2012065	38.39419 	0.18858 	4.81008 	0.00093 	1,9
2012216	84.74324 	0.39434 	8.12273 	0.00140 	1,3,9
2012932	32.62695 	0.10110 	3.97452 	0.00246 	1,9
2013145	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2013502	59.25488 	0.13775 	5.71073 	0.00121 	1,3,2,9
2013530	39.02101 	0.30403 	4.37870 	0.00198 	1,9
2014377	38.54173 	0.25735 	4.02423 	0.00130 	1,9
2014684	5.80000 	0.40000 	1.05000 	0.11000 	5
2014737	27.40000 	1.70000 	3.93000 	0.67000 	5
2015820	43.80629 	0.22250 	4.59838 	0.00126 	1,3,9
2015864	33.21550 	0.75318 	4.27436 	0.00645 	1,9
2016492	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2016676	-99.90000 	-99.90000 	7.04000 	-99.90000 	3,9
2016706	37.10754 	0.18640 	4.32116 	0.00125 	1,3,9
2016978	70.15311 	0.28122 	7.24981 	0.00112 	1,3,9
2017541	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2018007	31.96038 	0.12903 	3.89622 	0.00312 	1,3,9
2018112	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2018283	131.46702 	0.34521 	11.19341 	0.00243 	1,9
2018392	32.18228 	0.16795 	3.79310 	0.00090 	1,2,9
2018432	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2018537	172.15948 	0.62358 	13.84534 	0.00215 	1,9
2018541	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2018585	81.26548 	0.27702 	7.66253 	0.00201 	1,3,9
2018642	33.34279 	0.10626 	4.05844 	0.00247 	1,9
2018667	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2018760	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2019109	29.58090 	0.30017 	3.77598 	0.00244 	1,9
2019258	16.23528 	0.31730 	2.17233 	0.00271 	1,9
2019396	36.14525 	0.23974 	4.14431 	0.00186 	1,9
2019959	29.57886 	0.27123 	3.69323 	0.00148 	1,9
2019979	30.03641 	0.34568 	4.47382 	0.00399 	1
2020280	66.00234 	0.75272 	6.63356 	0.00315 	1,9
2020383	100.90166 	0.39826 	9.45006 	0.00257 	1,3,9
2020439	30.32473 	0.04761 	2.74844 	0.00182 	1
2020820	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2020876	32.86677 	0.10493 	4.00265 	0.00236 	1,9
2021216	172.81950 	0.88850 	14.37797 	0.00364 	1,9
2140446	54.29685 	0.21921 	5.69200 	0.00083 	1,9
2140780	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2140982	33.64928 	0.13164 	4.62450 	0.00435 	1,3,9
2141255	142.23967 	0.55140 	12.35863 	0.00257 	1,3,9
2141413	44.33299 	0.33140 	4.89583 	0.00157 	1,9
2141436	107.51256 	0.23949 	10.04362 	0.00169 	1,3,9
2141928	33.47483 	0.07576 	4.07391 	0.00180 	1,3,9
2141932	23.98579 	0.21489 	3.02003 	0.00136 	1,9
2142095	27.92464 	0.22167 	3.70048 	0.00155 	1,2,9
2142280	27.90376 	0.27324 	3.66289 	0.00267 	1,9
2142405	83.34593 	0.41686 	7.21669 	0.00253 	1
2142508	34.54392 	0.09999 	4.19616 	0.00192 	1,9
2142628	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2142675	43.84411 	0.14948 	4.73220 	0.00145 	1,9
2155148	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2155220	34.88453 	0.08030 	4.23867 	0.00177 	1,9
2155506	8.03944 	0.12418 	1.40178 	0.00175 	1,9
2155869	89.07751 	0.46561 	8.15600 	0.00162 	1,9
2156074	40.15685 	0.23600 	4.57152 	0.00146 	1,9
2156155	108.59494 	0.19932 	9.29600 	0.00188 	1,9
2156178	28.00956 	0.16572 	3.82447 	0.00215 	1,2,9
2156939	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2156988	29.29089 	0.19622 	3.91198 	0.00165 	1,9
2157059	22.32293 	0.21888 	3.00266 	0.00145 	1,9
2157650	-99.90000 	-99.90000 	11.30300 	-99.90000 	3,9
2157725	28.88129 	0.10051 	3.99287 	0.00360 	1,9
2157901	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2157964	26.69304 	0.47217 	3.55167 	0.00412 	1,9
2158336	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2158410	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2158781	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2158815	30.46126 	0.32886 	4.08697 	0.00319 	1,9
2159728	72.09665 	0.61432 	7.38855 	0.00255 	1,5
2159823	60.58082 	0.50460 	7.14880 	0.00265 	1
2159864	72.64152 	0.37466 	6.98167 	0.00171 	1,3,9
2160161	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2160289	69.85051 	0.22902 	6.66862 	0.00105 	1
2160572	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2160779	43.60713 	0.09704 	5.24502 	0.00141 	1,9
2160901	56.25211 	0.21999 	5.69486 	0.00092 	1,9
2160910	111.59067 	0.38240 	10.41044 	0.00223 	1,3,9
2161407	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2161409	-99.90000 	-99.90000 	8.57300 	-99.90000 	3,9
2161731	-99.90000 	-99.90000 	8.18500 	-99.90000 	3,9
2161831	139.06078 	0.71762 	12.40747 	0.00259 	1,3,9
2162486	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2163121	34.60846 	0.31876 	4.01439 	0.00204 	1,9
2163434	41.06549 	0.13242 	4.42595 	0.00240 	1
2163597	31.94207 	0.28130 	4.08700 	0.00259 	1,9
2163605	34.39450 	0.30539 	4.28598 	0.00246 	1
2163856	67.10454 	0.30544 	6.05450 	0.00140 	1,9
2164262	56.11595 	0.37961 	5.47263 	0.00251 	1,3,9
2164327	43.43037 	0.04619 	4.67801 	0.00118 	1,3,9
2164379	120.52171 	0.16239 	10.28414 	0.00163 	1,3,9
2164874	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2165198	84.19212 	0.36931 	7.77457 	0.00134 	1,9
2165371	6.88714 	0.08673 	1.22811 	0.00201 	1,9
2165450	98.96642 	0.42465 	8.09836 	0.00216 	1,3,9
2165589	27.41200 	0.25640 	3.84158 	0.00259 	1,3,9
2165615	35.47599 	0.19532 	4.14739 	0.00141 	1,9
2165710	34.40683 	0.17170 	4.18291 	0.00142 	1,9
2165894	53.57467 	0.32270 	5.76565 	0.00133 	1,3,9
2166119	137.23260 	0.84476 	12.37513 	0.00434 	1,9
2166223	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2166393	38.09778 	0.32842 	4.34875 	0.00152 	1,9
2166709	228.00000 	2.10000 	17.62000 	0.04000 	4
2166766	42.31273 	0.06695 	4.57454 	0.00142 	1,3,9
2166940	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2167183	2.50000 	0.20000 	0.55000 	0.01000 	5
2167447	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2167743	249.78797 	0.78280 	16.11262 	0.01182 	1
2167774	56.19393 	0.21288 	5.82879 	0.00079 	1,3,9
2168184	30.67186 	0.35789 	3.85940 	0.00282 	1,9
2282855	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2282986	238.97061 	1.31344 	16.03479 	0.01627 	1
2283075	-99.90000 	-99.90000 	6.46900 	-99.90000 	3,9
2283093	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2283435	28.68184 	0.21536 	4.13693 	0.00249 	1,9
2283532	35.86545 	0.04927 	4.35296 	0.00085 	1,9
2283721	-99.90000 	-99.90000 	7.78000 	-99.90000 	3,9
2284079	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2284278	7.28753 	0.02374 	1.19097 	0.00124 	1,9
2284330	28.31444 	0.21649 	3.65118 	0.00155 	1,9
2284679	199.80000 	11.50000 	16.15000 	0.55000 	5
2285217	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2285551	53.89863 	0.48679 	5.90976 	0.00186 	1,9
2285776	31.22704 	0.20039 	3.96079 	0.00148 	1,9
2285827	165.10347 	0.70556 	11.43322 	0.00542 	1,9
2285898	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2285941	140.04757 	0.78582 	12.64282 	0.00429 	1,4
2297325	124.22732 	0.59123 	11.54984 	0.00988 	1
2297384	30.71181 	0.07421 	3.74920 	0.00158 	1,5
2297785	46.01080 	0.25951 	4.68396 	0.00123 	1,3,9
2297793	4.01269 	0.01819 	0.80035 	0.00199 	1
2297825	30.94597 	0.06890 	3.77681 	0.00157 	1,5
2298034	24.45665 	0.24238 	3.22771 	0.00137 	1
2298039	96.67952 	1.15540 	8.92723 	0.00499 	1
2298343	60.28935 	0.57098 	6.18926 	0.00213 	1
2298436	25.31077 	0.29002 	3.67725 	0.00341 	1
2298439	8.09544 	0.14923 	1.38795 	0.00263 	1
2298465	125.86609 	1.44485 	11.05810 	0.00819 	1
2299788	30.29436 	0.08206 	3.69314 	0.00361 	1
2299888	28.50751 	0.21422 	2.69434 	0.00177 	1,4
2299926	39.39938 	0.22633 	4.46029 	0.00129 	1,3,9
2300227	57.41865 	0.27121 	6.33675 	0.00097 	1,4
2300329	15.65681 	0.06552 	2.19907 	0.00180 	1,9
2300399	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2300494	33.26474 	0.11632 	4.04930 	0.00226 	1,9
2300503	13.27989 	0.12316 	1.95971 	0.00107 	1,2,9
2300853	33.53971 	0.12165 	4.08150 	0.00259 	1,9
2300962	28.09347 	0.06763 	2.55076 	0.00235 	1,9
2301349	61.78002 	0.22296 	6.40366 	0.00090 	1,9
2301577	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2302010	30.72919 	0.28375 	3.96020 	0.00227 	1
2303101	162.06844 	0.27733 	13.71338 	0.00260 	1,3,9
2303200	51.81949 	0.22298 	5.69845 	0.00092 	1,9
2303289	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2303304	39.50000 	0.70000 	4.68000 	0.01000 	4
2303367	33.23533 	0.05756 	4.04586 	0.00148 	1,2,9
2303414	62.06426 	0.30284 	6.30681 	0.00126 	1,9
2303610	17.92532 	0.44478 	2.62157 	0.00369 	1,9
2303756	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2303870	21.34228 	0.45161 	3.06138 	0.00408 	1
2303954	60.34883 	0.25141 	6.53997 	0.00117 	1,3,9
2304104	34.33433 	0.27144 	3.95498 	0.00188 	1,3,9
2304765	81.10000 	-99.90000 	6.31000 	-99.90000 	2,9
2304850	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2305082	28.07179 	0.43528 	2.97145 	0.00230 	1
2305145	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2305407	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2305479	74.65183 	0.26770 	7.46331 	0.00097 	1,3,9
2305590	45.70604 	0.19227 	5.33362 	0.00093 	1,9
2305930	29.50000 	-99.90000 	3.32000 	-99.90000 	2,9
2305969	27.15521 	0.10458 	3.76215 	0.00328 	1
2305987	51.62451 	0.11914 	5.52524 	0.00171 	1,9
2305992	-99.90000 	-99.90000 	8.86700 	-99.90000 	3,9
2306481	35.07664 	0.10353 	4.22398 	0.00159 	1,3,9
2306716	41.21843 	0.67156 	5.02728 	0.00854 	1
2307683	38.09669 	0.18992 	4.32558 	0.00093 	1,2,9
2308196	66.95657 	0.20487 	7.05759 	0.00143 	1,3,9
2308762	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2308968	34.58566 	0.31149 	3.58534 	0.00241 	1,5
2309235	34.33352 	0.28403 	4.08862 	0.00186 	1,9
2309286	38.46098 	0.30060 	4.06327 	0.00130 	1,9
2309469	26.73955 	0.17783 	3.51052 	0.00148 	1,2,9
2309524	3.70000 	0.20000 	0.71000 	0.15000 	5
2309550	47.82223 	0.27681 	5.01650 	0.00152 	1,3,9
2309595	643.00000 	20.00000 	39.30000 	2.20000 	8,9
2309617	31.39875 	0.25177 	4.09478 	0.00211 	1,9
2309720	146.20156 	0.76303 	12.41639 	0.00441 	1,4
2309772	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2310129	-99.90000 	-99.90000 	5.54000 	-99.90000 	3
2310370	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2310479	10.07738 	0.17324 	1.75264 	0.00539 	1
2310571	28.88610 	0.35529 	3.91005 	0.00337 	1,9
2311069	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2311130	18.70566 	0.31069 	2.43062 	0.00230 	1
2311548	33.18205 	0.15206 	4.03961 	0.00191 	1,9
2421920	29.37352 	0.18557 	3.75814 	0.00102 	1,9
2422073	26.60216 	0.04818 	3.26189 	0.00091 	1,9
2422558	103.43031 	0.41298 	9.33209 	0.00152 	1,3,9
2422568	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2422635	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2422890	1.80000 	0.10000 	0.44000 	0.00000 	5
2423694	62.61896 	0.45496 	6.29633 	0.00183 	1,9
2423737	36.08696 	0.21282 	4.26812 	0.00139 	1,9
2423824	21.91216 	0.07401 	2.69964 	0.00202 	1,9
2423932	17.58677 	0.21377 	2.38698 	0.00146 	1,9
2424822	88.07055 	0.34630 	8.08461 	0.00134 	1,2,9
2424934	32.02783 	0.05640 	3.90415 	0.00123 	1,2,9
2424955	50.40362 	0.05935 	5.40161 	0.00099 	1,2,9
2425044	41.26472 	0.08055 	4.46633 	0.00143 	1,9
2425316	16.47263 	0.17969 	2.47316 	0.00144 	1,9
2425348	30.39244 	0.21677 	3.59469 	0.00116 	1,9
2425375	40.89147 	0.05703 	4.42772 	0.00103 	1,9
2425631	20.12849 	0.14341 	2.57757 	0.00087 	1,2
2435987	35.30439 	0.18881 	4.21633 	0.00092 	1,9
2436097	39.72129 	0.21477 	4.53277 	0.00100 	1,9
2436209	57.20000 	2.70000 	5.74000 	0.82000 	5
2436324	-99.90000 	-99.90000 	-99.90000 	-99.90000 	9
2436332	27.73109 	0.04317 	3.39627 	0.00091 	1,5
2436334	57.68019 	0.32732 	6.04886 	0.00152 	1
2436417	26.45750 	0.15943 	3.40196 	0.00136 	1,9
2436448	20.39692 	0.33670 	2.93974 	0.00342 	1
2436457	97.83251 	0.38258 	9.60657 	0.00182 	1,3,9
2436458	35.19923 	0.18504 	4.16198 	0.00084 	1,9
